instance,solver
abscisic_bic-2,astar-comp
alarm_1000_bdeu-0.1-2,ilp-141
alarm_1000_bdeu-0.1-4,ilp-162
alarm_100_bdeu-1-2,ilp-141
audiology_63_bdeu-0.1-3,ilp-141
autos_bdeu-0.1-6,astar-comp
autos_bdeu-1-3,ilp-141
autos_bdeu-1-5,ilp-162
autos_bdeu-1-6,astar-comp
autos_bdeu-100-5,astar-ec
backache_bdeu-0.1-4,ilp-141
carpo_1000_bdeu-1-3,ilp-141
carpo_1000_bdeu-1-4,ilp-141
carpo_1000_bdeu-1-5,ilp-141
carpo_100_bdeu-10-2,ilp-141
carpo_100_bic,ilp-162
colic_bdeu-1-5,cpbayes
colic_bdeu-1-6,ilp-141
connect-4_6000_bdeu-1-2,ilp-141
covtype_60000_bdeu-0.1-2,cpbayes
dermatology_bdeu-0.1-2,ilp-141-nc
dermatology_bdeu-0.1-6,ilp-141
dermatology_bdeu-10-3,ilp-162
dermatology_bdeu-10-4,ilp-162
eucalyptus_bdeu-1-6,astar-ec
eucalyptus_bdeu-10-3,astar-ec
hailfinder_10000_bdeu-0.1-4,ilp-141
hailfinder_100_bdeu-10-2,ilp-162
hepatitis_bdeu-100-4,astar-ec
hypothyroid_bdeu-0.1-2,cpbayes
hypothyroid_bdeu-0.1-4,ilp-141
hypothyroid_bdeu-10-2,astar-ec
insurance_10000_bdeu-0.1-6,ilp-141
insurance_10000_bdeu-10-2,ilp-141
insurance_10000_bdeu-10-5,cpbayes
insurance_10000_bdeu-100-5,astar-comp
insurance_10000_bdeu-100-6,astar-comp
insurance_1000_bdeu-10-3,ilp-162
insurance_1000_bic-2,ilp-162
insurance_100_bdeu-0.1-5,ilp-141
kr-vs-kp_bdeu-1-3,cpbayes
kredit_bdeu-100-4,astar-ec
lung-cancer_bdeu-1-3,ilp-162
mildew_1000_bdeu-0.1-4,ilp-141
mildew_1000_bdeu-100-4,ilp-141
mildew_100_bdeu-0.1-4,astar-comp
mildew_100_bdeu-10-4,astar-comp
mushroom_bdeu-1-2,astar-ec
mushroom_bic-4,astar-ec
optdigits_bdeu-10-3,ilp-162
pyrim_bdeu-0.1,cpbayes
pyrim_bdeu-1-4,cpbayes
pyrim_bdeu-10,cpbayes
pyrim_bdeu-100-6,astar-ec
spect_bic-2,cpbayes
splice_bdeu-0.1-2,ilp-141
splice_bdeu-1-3,ilp-141
splice_bdeu-100-2,ilp-162
splice_bdeu-100-3,ilp-162-nc
stemmatology_bdeu-0.1-2,ilp-141
stemmatology_bdeu-100-2,ilp-162
stemmatology_bdeu-100-5,ilp-162
student-mat_bdeu-100-6,ilp-141
student-por_bdeu-10-2,ilp-162
synth-1515-41-7-2-0.5-0-174_bdeu-10-2,ilp-162
synth-1517-57-8-2-0.5-0-660_bdeu-1-3,ilp-141
synth-1519-31-4-2-0.5-0-8672_bdeu-100-2,ilp-162
synth-1539-58-6-2-0.5-0-857_bdeu-1-4,ilp-141
synth-1546-22-3-2-0.5-0-1711_bdeu-10-4,cpbayes
synth-1556-26-3-2-0.5-0-238_bdeu-0.1-3,ilp-141
synth-1586-56-4-2-0.5-0-110_bdeu-1-2,ilp-162
synth-1591-60-6-2-0.5-0-1643_bic-3,ilp-141
synth-1624-34-2-2-0.5-0-366_bic-3,ilp-141
synth-1641-28-3-2-0.5-0-195_bdeu-10-3,ilp-162
synth-1643-46-8-2-0.5-0-243_bdeu-0.1-2,ilp-141
synth-1651-30-4-2-0.5-0-303_bdeu-0.1-5,ilp-162
synth-1679-60-3-2-0.5-0-443_bdeu-0.1-2,ilp-162-nc
synth-1688-44-6-2-0.5-0-2780_bdeu-100-2,ilp-141-nc
synth-1690-21-6-2-0.5-0-4834_bic-2,astar-ec
synth-1724-41-6-2-0.5-0-199_bic-5,ilp-162-nc
synth-1727-55-2-2-0.5-0-1978_bdeu-0.1-2,ilp-141
synth-1752-37-3-2-0.5-0-255_bdeu-0.1-5,ilp-141
synth-1773-43-5-2-0.5-0-161_bdeu-100-2,ilp-162
synth-1783-51-5-2-0.5-0-168_bic-5,ilp-162
synth-1784-58-3-2-0.5-0-198_bic-5,ilp-141
synth-1790-22-5-2-0.5-0-350_bdeu-1-3,cpbayes
synth-1795-36-5-2-0.5-0-291_bdeu-1-3,ilp-162
synth-1796-52-4-2-0.5-0-3130_bdeu-10-2,ilp-141-nc
synth-1812-50-5-2-0.5-0-125_bdeu-100-2,ilp-141-nc
synth-1838-25-8-2-0.5-0-590_bdeu-1-3,ilp-162
synth-1850-33-6-2-0.5-0-3528_bdeu-10-4,cpbayes
synth-1854-26-4-2-0.5-0-259_bic-2,ilp-141
synth-1855-32-3-2-0.5-0-259_bdeu-1-3,ilp-141
