instance,solver
abscisic_bdeu-1-2,cpbayes
alarm_10000_bdeu-1-5,ilp-162-nc
alarm_10000_bic-3,ilp-162-nc
alarm_1000_bdeu-10-3,ilp-141
alarm_100_bdeu-0.1-3,ilp-141-nc
alarm_100_bdeu-1-4,ilp-141
alarm_100_bdeu-1-5,ilp-141
anneal_bdeu-0.1-2,cpbayes
anneal_bdeu-0.1-6,astar-comp
anneal_bdeu-1-2,ilp-141-nc
anneal_bdeu-1-4,astar-comp
autos_bdeu-100-2,astar-comp
backache_bdeu-1-5,ilp-162-nc
backache_bdeu-100-4,astar-comp
carpo_10000_bdeu-1-2,ilp-141-nc
carpo_10000_bdeu-1-3,ilp-141
carpo_10000_bic-4,ilp-162
carpo_1000_bdeu-0.1-5,ilp-141
colic_bdeu-0.1-6,cpbayes
connect-4_6000_bic-3,ilp-162-nc
connect-4_6000_bic-5,ilp-162-nc
credit-g_bdeu-100-2,ilp-162
dermatology_bdeu-1-3,cpbayes
dermatology_bdeu-10-6,ilp-141
dermatology_bic,ilp-141-nc
diabetes_bdeu-100-4,astar-comp
eucalyptus_bdeu-0.1,astar-ec
eucalyptus_bdeu-100-6,astar-ec
flag_bdeu-0.1-3,cpbayes
flag_bdeu-0.1-4,cpbayes
flag_bdeu-10-5,ilp-162-nc
hailfinder_1000_bdeu-1-2,ilp-141-nc
hypothyroid_bdeu-0.1-5,ilp-162
hypothyroid_bdeu-10-6,astar-comp
hypothyroid_bdeu-100-3,astar-comp
insurance_1000_bdeu-10-2,ilp-162-nc
insurance_100_bdeu-0.1-2,ilp-141-nc
insurance_100_bdeu-1-5,cpbayes
insurance_100_bdeu-10-5,ilp-162-nc
insurance_100_bdeu-100,cpbayes
insurance_100_bdeu-100-5,cpbayes
kr-vs-kp_bdeu-1-2,ilp-141
letter_bdeu-100-2,ilp-141-nc
lung-cancer_bdeu-0.1-3,ilp-141
lymph_bdeu-100-2,astar-comp
lymph_bdeu-100-4,astar-ec
marketing_bdeu-100-6,ilp-141-nc
mildew_10000_bdeu-1-4,ilp-141
mildew_1000_bdeu-1-3,ilp-141
mildew_1000_bic,cpbayes
mildew_100_bdeu-10-5,astar-comp
mushroom_bdeu-0.1-3,astar-comp
mushroom_bdeu-1-5,astar-ed3
mushroom_bic,cpbayes
promoters_bdeu-100-2,ilp-141
pyrim_bdeu-0.1-3,cpbayes
spect_bdeu-10-3,ilp-141
spect_bdeu-100-3,ilp-141
spect_bic,ilp-162
splice_bdeu-10-2,ilp-162
sponge_bdeu-1-2,ilp-162-nc
stemmatology_bdeu-10-5,ilp-162
student-por_bdeu-1-6,cpbayes
student-por_bdeu-10-6,ilp-141
synth-1502-59-4-2-0.5-0-172_bdeu-0.1-5,ilp-141
synth-1513-49-4-2-0.5-0-141_bic-2,ilp-162
synth-1516-42-4-2-0.5-0-352_bdeu-1-4,ilp-141-nc
synth-1532-45-7-2-0.5-0-175_bic-2,ilp-141-nc
synth-1576-50-3-2-0.5-0-3433_bic-3,ilp-162
synth-1601-21-3-2-0.5-0-102_bdeu-100-5,astar-comp
synth-1636-55-4-2-0.5-0-5301_bdeu-10-2,ilp-141-nc
synth-1637-40-8-2-0.5-0-760_bdeu-10-4,ilp-162-nc
synth-1652-51-8-2-0.5-0-118_bdeu-1-3,ilp-162-nc
synth-1655-25-6-2-0.5-0-6558_bdeu-0.1-3,astar-ec
synth-1658-26-2-2-0.5-0-2411_bdeu-0.1-3,cpbayes
synth-1675-33-7-2-0.5-0-860_bdeu-0.1-5,ilp-162
synth-1676-40-3-2-0.5-0-148_bdeu-100-2,ilp-162-nc
synth-1677-20-8-2-0.5-0-653_bdeu-10-5,cpbayes
synth-1698-42-2-2-0.5-0-4394_bic-2,ilp-141-nc
synth-1704-32-7-2-0.5-0-7774_bdeu-1-4,astar-comp
synth-1708-52-4-2-0.5-0-1512_bic-3,ilp-162-nc
synth-1709-52-8-2-0.5-0-4085_bdeu-100-2,ilp-141-nc
synth-1712-46-3-2-0.5-0-441_bic-5,ilp-141-nc
synth-1717-23-4-2-0.5-0-232_bdeu-100-2,astar-comp
synth-1718-21-3-2-0.5-0-506_bdeu-10-2,cpbayes
synth-1720-28-3-2-0.5-0-7250_bic-3,ilp-162-nc
synth-1741-29-2-2-0.5-0-6504_bic-5,cpbayes
synth-1748-42-3-2-0.5-0-4766_bdeu-1-4,ilp-162
synth-1763-24-2-2-0.5-0-255_bdeu-10-5,cpbayes
synth-1771-30-4-2-0.5-0-308_bdeu-10-4,ilp-162-nc
synth-1779-45-5-2-0.5-0-9358_bdeu-0.1-3,ilp-162
synth-1793-36-8-2-0.5-0-3640_bdeu-0.1-2,ilp-162-nc
synth-1800-54-5-2-0.5-0-919_bdeu-0.1-3,ilp-141-nc
synth-1826-48-3-2-0.5-0-1762_bdeu-1-5,ilp-141-nc
synth-1831-26-6-2-0.5-0-1237_bdeu-0.1-5,cpbayes
synth-1834-27-2-2-0.5-0-6798_bic-2,cpbayes
synth-1863-40-7-2-0.5-0-109_bdeu-100-3,astar-comp
synth-1864-33-8-2-0.5-0-292_bdeu-0.1-5,ilp-162
synth-1910-27-6-2-0.5-0-1955_bdeu-1-2,ilp-162-nc
synth-1914-33-8-2-0.5-0-709_bdeu-10-2,ilp-141-nc
synth-1917-52-3-2-0.5-0-2151_bdeu-10-3,ilp-162
synth-1926-45-2-2-0.5-0-4712_bdeu-10-5,ilp-141-nc
synth-1940-23-6-2-0.5-0-476_bdeu-1-2,ilp-162-nc
synth-1944-21-5-2-0.5-0-387_bic-4,ilp-162-nc
synth-1964-38-4-2-0.5-0-341_bdeu-0.1-3,ilp-141
synth-1978-40-6-2-0.5-0-186_bic-4,ilp-141
synth-1997-40-5-2-0.5-0-169_bic-2,ilp-141-nc
trains_bdeu-10-6,astar-ec
turkiye_bdeu-100-5,cpbayes
voting_bdeu-100-3,astar-ec
water_10000_bdeu-0.1-3,ilp-162
water_1000_bdeu-1-6,ilp-141-nc
water_1000_bdeu-100-5,cpbayes
water_100_bdeu-1-3,cpbayes
water_100_bdeu-100-2,cpbayes
water_100_bdeu-100-5,cpbayes
zoo_bdeu-10-4,astar-ec
zoo_bdeu-100-6,astar-comp
