instance,solver
abscisic_bdeu-0.1-2,cpbayes
abscisic_bdeu-100-2,astar-comp
alarm_10000_bdeu-10-4,ilp-162-nc
alarm_100_bdeu-0.1-6,ilp-141
anneal_bdeu-0.1-3,cpbayes
anneal_bdeu-0.1-5,astar-comp
anneal_bdeu-1-6,astar-comp
anneal_bdeu-100-2,astar-comp
autos_bdeu-0.1-4,cpbayes
autos_bdeu-10-3,ilp-162
autos_bic,ilp-141
backache_bdeu-10-2,cpbayes
backache_bic,ilp-141
carpo_1000_bdeu-0.1-3,ilp-162
carpo_1000_bic-2,ilp-162
colic_bdeu-10-2,cpbayes
colic_bdeu-10-5,ilp-141
connect-4_60000_bdeu-1-2,ilp-141
connect-4_6000_bdeu-1-3,ilp-141
connect-4_6000_bdeu-10-2,ilp-141
dermatology_bdeu-0.1-4,ilp-141
dermatology_bdeu-100-5,astar-comp
diabetes_bdeu-100-2,ilp-141
eucalyptus_bdeu-0.1-6,astar-ec
eucalyptus_bdeu-10,astar-ec
eucalyptus_bdeu-10-2,cpbayes
eucalyptus_bdeu-100,astar-ec
eucalyptus_bdeu-100-3,astar-ec
flag_bdeu-0.1-2,ilp-141
flag_bdeu-100-4,astar-comp
hailfinder_10000_bdeu-10-3,ilp-141
hailfinder_1000_bdeu-100-2,ilp-162
hailfinder_1000_bic-4,ilp-162
hailfinder_100_bdeu-0.1-4,ilp-141
hailfinder_100_bdeu-10-4,ilp-162
hepatitis_bdeu-10-3,astar-ec
hypothyroid_bdeu-0.1-3,cpbayes
hypothyroid_bdeu-100-4,astar-ec
insurance_10000_bdeu-0.1-4,ilp-162
insurance_10000_bdeu-10-6,ilp-141
insurance_1000_bdeu-1-2,ilp-162
insurance_1000_bdeu-1-6,ilp-162
insurance_100_bdeu-1-4,ilp-141
insurance_100_bdeu-1-6,ilp-141
insurance_100_bdeu-10-4,ilp-162
insurance_100_bdeu-10-6,ilp-162
insurance_100_bdeu-100-2,cpbayes
kr-vs-kp_bdeu-0.1-2,ilp-162
kr-vs-kp_bic-3,ilp-141-nc
lung-cancer_bic,ilp-141
lymph_bdeu-100,astar-ec
mildew_10000_bdeu-0.1-2,ilp-141
mildew_1000_bdeu-1-4,ilp-141
mildew_1000_bdeu-1-5,ilp-141
mildew_100_bdeu-1-3,ilp-141
mildew_100_bdeu-100-3,ilp-162
mushroom_bdeu-1-3,cpbayes
mushroom_bdeu-10-6,astar-ec
mushroom_bic-2,cpbayes
optdigits_bic-6,ilp-141
promoters_bdeu-0.1-4,ilp-141
promoters_bic,ilp-141
soybean_bdeu-0.1-3,ilp-141
student-mat_bdeu-0.1-5,ilp-141
student-mat_bdeu-0.1-6,ilp-141
student-mat_bdeu-1-6,ilp-141
synth-1512-40-4-2-0.5-0-1073_bdeu-10-5,ilp-162
synth-1534-40-8-2-0.5-0-237_bdeu-10-2,ilp-162
synth-1541-34-4-2-0.5-0-958_bic-5,ilp-162
synth-1550-34-2-2-0.5-0-268_bdeu-10-2,ilp-162
synth-1580-53-5-2-0.5-0-2092_bdeu-0.1-4,ilp-162
synth-1598-36-7-2-0.5-0-341_bdeu-1-3,ilp-162
synth-1610-21-4-2-0.5-0-5737_bdeu-10-2,cpbayes
synth-1619-54-4-2-0.5-0-119_bdeu-0.1-5,ilp-162
synth-1638-33-3-2-0.5-0-151_bdeu-0.1-5,ilp-162
synth-1642-55-3-2-0.5-0-102_bdeu-0.1-2,ilp-162
synth-1668-32-6-2-0.5-0-8049_bdeu-1-4,cpbayes
synth-1673-54-4-2-0.5-0-199_bdeu-0.1-4,ilp-162
synth-1692-45-2-2-0.5-0-1270_bic-4,ilp-141
synth-1696-24-7-2-0.5-0-6402_bic-3,cpbayes
synth-1707-46-2-2-0.5-0-6540_bdeu-1-5,ilp-141
synth-1721-35-3-2-0.5-0-5792_bdeu-0.1-3,ilp-162
synth-1730-54-3-2-0.5-0-7442_bdeu-100-2,ilp-141
synth-1740-22-5-2-0.5-0-2400_bdeu-10-4,astar-ec
synth-1746-46-4-2-0.5-0-2887_bdeu-10-3,ilp-141-nc
synth-1747-31-8-2-0.5-0-994_bic-2,cpbayes
synth-1766-43-5-2-0.5-0-938_bdeu-0.1-2,ilp-162
