instance,solver
abscisic_bdeu-10-2,ilp-141
abscisic_bdeu-100-3,astar-comp
alarm_10000_bdeu-0.1-5,ilp-162
alarm_10000_bdeu-1-3,ilp-162
alarm_1000_bdeu-0.1-3,ilp-162
alarm_1000_bdeu-1-2,ilp-162
alarm_1000_bdeu-1-3,ilp-141
alarm_1000_bdeu-1-5,ilp-162
alarm_100_bdeu-0.1-5,ilp-162
alarm_100_bdeu-10-5,ilp-141
anneal_bdeu-1-5,astar-comp
audiology_63_bdeu-0.1-5,ilp-162
autos_bdeu-0.1-5,cpbayes
autos_bdeu-1-2,ilp-141
autos_bdeu-10-4,astar-comp
autos_bdeu-10-6,astar-ec
autos_bdeu-100-3,astar-ec
autos_bdeu-100-4,astar-ec
autos_bdeu-100-6,astar-ec
carpo_1000_bdeu-0.1-2,ilp-141-nc
carpo_100_bdeu-1-2,ilp-162-nc
carpo_100_bdeu-1-3,ilp-141
connect-4_6000_bdeu-0.1-2,ilp-141
covtype_60000_bdeu-10-2,cpbayes
dermatology_bdeu-0.1-5,ilp-141
dermatology_bdeu-1-6,ilp-162
diabetes_bdeu-1-3,ilp-162
eucalyptus_bdeu-0.1-5,astar-ec
eucalyptus_bdeu-100-5,astar-ec
hailfinder_10000_bdeu-10-4,ilp-141
hailfinder_1000_bdeu-10-2,ilp-141
hailfinder_1000_bdeu-100-3,ilp-141
hailfinder_100_bdeu-1-2,ilp-141
hailfinder_100_bdeu-1-3,ilp-141
hepatitis_bdeu-10-4,cpbayes
hepatitis_bdeu-100,astar-ec
hepatitis_bdeu-100-3,astar-ec
hypothyroid_bdeu-1-5,cpbayes
hypothyroid_bdeu-10-3,astar-ec
insurance_1000_bdeu-0.1-6,ilp-162
insurance_1000_bdeu-100-6,astar-comp
kredit_bdeu-100,cpbayes
lung-cancer_bdeu-0.1-2,ilp-141
mildew_100_bdeu-0.1-2,ilp-141
mildew_100_bdeu-100-5,astar-comp
mushroom_bdeu-100-2,astar-ec
pyrim_bdeu-0.1-2,ilp-141
pyrim_bdeu-0.1-5,cpbayes
pyrim_bdeu-1-5,ilp-162
pyrim_bdeu-1-6,ilp-141
pyrim_bdeu-10-5,cpbayes
spect_bdeu-0.1-2,cpbayes
spect_bdeu-1,cpbayes
spect_bdeu-1-2,cpbayes
spect_bdeu-100-5,astar-ec
splice_bdeu-1-2,ilp-141
splice_bdeu-100-4,ilp-162
student-mat_bdeu-10-2,ilp-141
student-por_bdeu-100-3,ilp-162
student-por_bdeu-100-4,ilp-162-nc
synth-1514-41-4-2-0.5-0-189_bic-2,ilp-141
synth-1557-47-8-2-0.5-0-960_bdeu-0.1-4,ilp-162
synth-1568-52-7-2-0.5-0-106_bdeu-100-2,ilp-141
synth-1584-53-4-2-0.5-0-1162_bdeu-0.1-4,ilp-141
synth-1613-46-3-2-0.5-0-108_bdeu-0.1-5,ilp-162
synth-1617-37-8-2-0.5-0-2282_bdeu-100-3,astar-comp
synth-1628-37-2-2-0.5-0-2923_bdeu-10-2,ilp-162
synth-1661-52-6-2-0.5-0-153_bdeu-10-2,ilp-162
synth-1662-38-3-2-0.5-0-136_bdeu-10-5,ilp-162
synth-1663-33-2-2-0.5-0-1182_bdeu-100-3,astar-comp
synth-1665-60-8-2-0.5-0-304_bdeu-1-3,ilp-141
synth-1669-52-6-2-0.5-0-143_bdeu-10-2,ilp-162
synth-1682-37-4-2-0.5-0-839_bdeu-1-4,ilp-162-nc
synth-1719-27-3-2-0.5-0-208_bdeu-0.1-4,ilp-141
synth-1723-25-2-2-0.5-0-289_bdeu-10-4,cpbayes
synth-1731-25-7-2-0.5-0-112_bdeu-1-2,ilp-141
synth-1734-33-5-2-0.5-0-362_bic-4,ilp-162-nc
synth-1738-23-8-2-0.5-0-1000_bdeu-1-3,astar-ec
