instance,solver
alarm_10000_bdeu-1-2,ilp-162
alarm_1000_bdeu-0.1-5,ilp-162-nc
alarm_1000_bdeu-10-2,ilp-162-nc
alarm_1000_bic-2,ilp-162
alarm_100_bdeu-0.1-2,ilp-162-nc
alarm_100_bdeu-10-2,ilp-162-nc
anneal_bic,ilp-162
audiology_63_bdeu-1-2,ilp-141
audiology_63_bdeu-1-4,ilp-162-nc
audiology_63_bic,ilp-141
autos_bdeu-1-4,ilp-141-nc
backache_bdeu-1-2,cpbayes
backache_bdeu-10-6,ilp-162
backache_bdeu-100-2,astar-comp
carpo_10000_bdeu-0.1-3,ilp-141
carpo_100_bdeu-0.1-2,ilp-162-nc
carpo_100_bdeu-0.1-3,ilp-162-nc
carpo_100_bdeu-1-4,ilp-141
colic_bdeu-100-2,astar-ec
covtype_60000_bdeu-1-2,ilp-141
covtype_60000_bdeu-100-2,ilp-141
dermatology_bdeu-1-5,ilp-141
dermatology_bdeu-10-5,ilp-162-nc
eucalyptus_bdeu-1-2,astar-ec
flag_bdeu-10-3,ilp-141
hailfinder_10000_bdeu-1-4,ilp-162
hailfinder_10000_bdeu-100-2,ilp-162
hailfinder_100_bdeu-0.1-2,ilp-162
hailfinder_100_bdeu-1-4,ilp-162
hepatitis_bdeu-10,astar-ec
hypothyroid_bdeu-0.1,astar-ec
hypothyroid_bdeu-1-2,astar-ed3
hypothyroid_bdeu-100-5,astar-ec
hypothyroid_bic,ilp-162
insurance_10000_bdeu-1-2,astar-comp
insurance_10000_bdeu-1-3,ilp-141
insurance_10000_bdeu-1-5,ilp-162-nc
insurance_10000_bdeu-1-6,ilp-141
insurance_10000_bdeu-10-4,ilp-141-nc
insurance_10000_bdeu-100-2,ilp-162-nc
insurance_1000_bdeu-1-3,ilp-141
insurance_100_bdeu-0.1-4,astar-comp
kr-vs-kp_bdeu-100-3,astar-comp
kr-vs-kp_bic-2,ilp-162-nc
lung-cancer_bdeu-1-2,ilp-141
lymph_bdeu-100-3,astar-ec
lymph_bdeu-100-6,cpbayes
mildew_10000_bdeu-10-2,ilp-162
mildew_1000_bdeu-0.1-5,ilp-141
mildew_100_bdeu-1-5,astar-comp
mildew_100_bdeu-10-3,ilp-141
mushroom_bdeu-10-5,astar-ec
mushroom_bdeu-100-3,astar-ec
mushroom_bdeu-100-4,astar-comp
optdigits_bdeu-100-2,ilp-162-nc
plants_63_bdeu-0.1-2,astar-comp
promoters_bdeu-0.1-2,ilp-162-nc
pyrim_bdeu-0.1-6,ilp-162
pyrim_bdeu-10-3,ilp-162-nc
soybean_bdeu-100-2,ilp-162
spect_bdeu-0.1,ilp-162
spect_bdeu-10,ilp-162
spect_bdeu-10-4,ilp-162
spect_bdeu-100-2,ilp-141
sponge_bdeu-1-3,ilp-162
student-por_bdeu-100-6,ilp-162
synth-1520-44-3-2-0.5-0-739_bdeu-10-4,ilp-162
synth-1522-56-7-2-0.5-0-361_bdeu-10-4,ilp-141
synth-1536-37-6-2-0.5-0-428_bic-2,ilp-141-nc
synth-1549-36-2-2-0.5-0-312_bdeu-0.1-5,ilp-162
synth-1555-26-7-2-0.5-0-1601_bdeu-0.1-4,ilp-162-nc
synth-1570-40-3-2-0.5-0-188_bdeu-1-4,ilp-162-nc
synth-1573-37-5-2-0.5-0-988_bdeu-0.1-3,ilp-162
synth-1579-42-4-2-0.5-0-286_bdeu-10-4,ilp-162
synth-1592-60-8-2-0.5-0-2291_bdeu-0.1-4,ilp-162
synth-1594-54-2-2-0.5-0-577_bic-4,ilp-162
synth-1600-24-6-2-0.5-0-974_bdeu-10-3,ilp-162
synth-1606-30-7-2-0.5-0-884_bic-2,ilp-141-nc
synth-1614-36-8-2-0.5-0-102_bdeu-10-3,ilp-141-nc
synth-1623-31-6-2-0.5-0-271_bdeu-0.1-3,cpbayes
synth-1634-27-7-2-0.5-0-2019_bdeu-0.1-5,astar-ec
synth-1678-48-4-2-0.5-0-199_bic-2,ilp-141-nc
synth-1686-32-4-2-0.5-0-1161_bdeu-1-2,ilp-141
synth-1691-50-5-2-0.5-0-129_bdeu-0.1-2,ilp-162-nc
synth-1703-32-2-2-0.5-0-318_bdeu-10-4,ilp-141
synth-1760-45-3-2-0.5-0-925_bdeu-0.1-4,ilp-162
synth-1791-31-7-2-0.5-0-8519_bic-3,ilp-162-nc
synth-1816-48-3-2-0.5-0-9424_bdeu-0.1-4,ilp-162-nc
synth-1829-30-2-2-0.5-0-166_bdeu-100-4,astar-comp
synth-1833-24-3-2-0.5-0-148_bic-5,ilp-141-nc
synth-1840-55-4-2-0.5-0-502_bdeu-10-2,ilp-162-nc
synth-1876-47-6-2-0.5-0-1674_bdeu-1-3,ilp-141
synth-1879-44-4-2-0.5-0-659_bdeu-0.1-4,ilp-162-nc
synth-1885-44-7-2-0.5-0-163_bic-5,ilp-162
synth-1905-40-7-2-0.5-0-7685_bdeu-10-3,ilp-141-nc
synth-1907-48-5-2-0.5-0-255_bic-2,ilp-141
synth-1924-45-4-2-0.5-0-1328_bdeu-0.1-4,ilp-162-nc
synth-1954-37-4-2-0.5-0-217_bic-4,ilp-162
synth-1955-40-2-2-0.5-0-4068_bdeu-0.1-2,ilp-141
synth-1965-49-2-2-0.5-0-744_bic-2,ilp-162
synth-1972-51-5-2-0.5-0-194_bdeu-1-2,ilp-141
synth-1973-54-4-2-0.5-0-445_bdeu-100-2,ilp-141
synth-1990-40-7-2-0.5-0-275_bic-2,ilp-141-nc
synth-1996-39-6-2-0.5-0-302_bdeu-100-2,ilp-141
trains_bdeu-100-4,astar-comp
turkiye_bdeu-0.1-5,ilp-141-nc
water_10000_bdeu-0.1-5,ilp-141-nc
water_10000_bdeu-1-4,ilp-141-nc
water_10000_bdeu-1-5,ilp-162-nc
water_10000_bic-2,cpbayes
water_10000_bic-5,astar-comp
water_1000_bdeu-100-3,cpbayes
water_100_bdeu-1-5,ilp-141-nc
water_100_bdeu-1-6,ilp-162-nc
water_100_bdeu-10-2,ilp-162
wiki4he_bdeu-10-2,ilp-141-nc
zoo_bdeu-0.1-2,ilp-141-nc
zoo_bdeu-100,astar-ec
