instance,solver
alarm_10000_bdeu-0.1-2,ilp-162
alarm_1000_bdeu-100-2,ilp-141
alarm_1000_bic,ilp-141
alarm_100_bdeu-1-3,ilp-162
alarm_100_bdeu-100-3,astar-comp
alarm_100_bic,ilp-141
audiology_63_bic-2,ilp-162
backache_bdeu-0.1-2,ilp-141
backache_bdeu-0.1-6,ilp-141
backache_bdeu-1-3,ilp-162
backache_bdeu-10-4,ilp-162
carpo_10000_bic-3,ilp-162
carpo_1000_bdeu-0.1-4,ilp-162
carpo_1000_bdeu-10-2,ilp-141
colic_bdeu-10-6,ilp-141
connect-4_6000_bdeu-0.1-3,ilp-162
covtype_60000_bic-2,ilp-162
dermatology_bdeu-0.1-3,ilp-162
dermatology_bdeu-1-2,ilp-162
dermatology_bdeu-100-6,astar-comp
eucalyptus_bdeu-1,astar-ec
eucalyptus_bdeu-1-5,astar-ec
eucalyptus_bdeu-10-4,astar-ec
flag_bdeu-0.1-6,ilp-141
flag_bdeu-1-3,ilp-162
flag_bdeu-100-6,astar-comp
hailfinder_1000_bdeu-1-3,ilp-141
hailfinder_1000_bdeu-10-3,ilp-141
hailfinder_100_bdeu-100-2,ilp-141
hepatitis_bdeu-10-2,cpbayes
insurance_10000_bdeu-100-3,astar-comp
insurance_10000_bdeu-100-4,astar-comp
insurance_1000_bdeu-0.1-3,ilp-162
insurance_1000_bic,ilp-141
insurance_100_bdeu-0.1-3,ilp-141
insurance_100_bdeu-100-4,astar-comp
kr-vs-kp_bdeu-100-2,ilp-162
letter_bdeu-100-4,astar-ec
lung-cancer_bdeu-10-2,ilp-162
lung-cancer_bdeu-100-2,ilp-141
mildew_10000_bdeu-0.1-4,ilp-141
mildew_10000_bdeu-10-4,ilp-141
mildew_1000_bdeu-100-5,ilp-162
mildew_100_bdeu-0.1-3,ilp-141
mushroom_bdeu-0.1-4,astar-ec
optdigits_bdeu-1-3,ilp-162
optdigits_bdeu-100-3,ilp-141
pyrim_bdeu-1,cpbayes
pyrim_bdeu-1-2,ilp-141
pyrim_bdeu-10-4,cpbayes
pyrim_bdeu-10-6,cpbayes
spect_bdeu-100,astar-ec
sponge_bdeu-0.1-2,ilp-162
sponge_bdeu-0.1-5,ilp-141
student-mat_bdeu-10-5,ilp-141
student-mat_bdeu-100-4,astar-comp
student-mat_bic,ilp-141
student-por_bdeu-100-2,ilp-162
synth-1508-52-7-2-0.5-0-209_bdeu-10-3,ilp-141
synth-1510-55-7-2-0.5-0-323_bic-2,ilp-162
synth-1528-22-3-2-0.5-0-553_bdeu-100-3,astar-ec
synth-1529-54-6-2-0.5-0-9822_bdeu-100-2,ilp-141
synth-1542-37-7-2-0.5-0-2023_bic-4,ilp-141-nc
synth-1545-35-6-2-0.5-0-347_bdeu-1-2,ilp-162
synth-1548-25-3-2-0.5-0-329_bdeu-10-2,ilp-162
synth-1559-29-6-2-0.5-0-293_bdeu-10-4,ilp-162
synth-1565-26-8-2-0.5-0-703_bdeu-1-5,ilp-162
synth-1566-26-2-2-0.5-0-1082_bdeu-0.1-5,ilp-141
synth-1571-53-7-2-0.5-0-593_bdeu-0.1-3,ilp-162
synth-1581-41-5-2-0.5-0-180_bic-3,ilp-162
synth-1593-49-5-2-0.5-0-792_bdeu-0.1-3,ilp-162
synth-1597-31-8-2-0.5-0-201_bdeu-100-2,ilp-162
synth-1603-21-3-2-0.5-0-6526_bdeu-10-5,ilp-162
synth-1609-32-7-2-0.5-0-7946_bdeu-10-3,astar-comp
synth-1616-60-3-2-0.5-0-1780_bdeu-0.1-4,ilp-162
synth-1639-58-7-2-0.5-0-303_bdeu-0.1-4,ilp-162
synth-1659-49-6-2-0.5-0-608_bic-5,ilp-162
synth-1660-36-4-2-0.5-0-2165_bdeu-10-3,ilp-141
synth-1670-35-7-2-0.5-0-507_bdeu-10-2,ilp-162
synth-1684-45-2-2-0.5-0-358_bdeu-10-3,ilp-162
synth-1697-39-2-2-0.5-0-168_bdeu-100-3,astar-comp
synth-1716-25-5-2-0.5-0-159_bdeu-1-2,ilp-162
synth-1735-25-2-2-0.5-0-4948_bic-2,ilp-162
synth-1739-59-2-2-0.5-0-280_bic-3,ilp-162
synth-1757-23-3-2-0.5-0-1329_bdeu-100-3,astar-ec
synth-1759-50-8-2-0.5-0-321_bdeu-0.1-5,ilp-162
synth-1780-50-7-2-0.5-0-100_bdeu-0.1-2,ilp-141
synth-1781-50-7-2-0.5-0-434_bic-3,ilp-162
synth-1792-27-7-2-0.5-0-2219_bic-4,astar-comp
synth-1802-39-3-2-0.5-0-433_bdeu-0.1-3,ilp-162
synth-1810-44-2-2-0.5-0-151_bdeu-1-2,ilp-141
synth-1846-54-2-2-0.5-0-3335_bdeu-10-2,ilp-141
synth-1867-27-4-2-0.5-0-5292_bdeu-0.1-4,ilp-162-nc
synth-1878-36-8-2-0.5-0-138_bdeu-0.1-2,ilp-162
synth-1883-27-8-2-0.5-0-220_bdeu-0.1-3,ilp-141
synth-1884-31-3-2-0.5-0-3746_bic-2,ilp-162
synth-1886-49-7-2-0.5-0-274_bdeu-0.1-5,ilp-162
synth-1899-20-2-2-0.5-0-575_bdeu-100-5,astar-ec
synth-1916-49-2-2-0.5-0-750_bdeu-10-4,ilp-141
synth-1934-29-4-2-0.5-0-258_bic-5,ilp-162
synth-1947-33-3-2-0.5-0-134_bdeu-10-4,ilp-162
synth-1956-28-5-2-0.5-0-2944_bic-2,ilp-162
synth-1984-52-2-2-0.5-0-7019_bic-3,ilp-162
synth-1986-32-8-2-0.5-0-3621_bdeu-100-3,astar-comp
synth-1991-48-5-2-0.5-0-3426_bdeu-1-3,ilp-141-nc
synth-1993-58-2-2-0.5-0-6737_bdeu-0.1-4,ilp-162
trains_bdeu-1-2,ilp-162
trains_bdeu-10-2,ilp-162
trains_bdeu-10-5,astar-ec
trains_bdeu-100-2,cpbayes
triazines_bic,ilp-141
turkiye_bdeu-1-5,cpbayes
water_1000_bdeu-10-3,ilp-141
water_100_bdeu-0.1-5,ilp-141
water_100_bdeu-10-3,ilp-141
wiki4he_bdeu-1-2,ilp-141
wiki4he_bdeu-100-2,ilp-141
zoo_bdeu-0.1-3,cpbayes
