instance,solver
alarm_10000_bdeu-10-2,ilp-162
alarm_10000_bdeu-10-5,ilp-162
alarm_10000_bic-4,ilp-162
alarm_1000_bdeu-10-4,ilp-162
alarm_100_bdeu-1-6,ilp-141
anneal_bdeu-0.1-4,ilp-141
anneal_bdeu-1-3,ilp-141
anneal_bdeu-100-3,astar-comp
anneal_bic-2,ilp-162
autos_bdeu-10-2,cpbayes
backache_bdeu-0.1-3,ilp-141
backache_bdeu-0.1-5,ilp-162
backache_bdeu-10-3,ilp-162
carpo_1000_bic-4,ilp-162
colic_bdeu-1-3,ilp-162
colic_bdeu-10-3,cpbayes
colic_bic,ilp-141
connect-4_60000_bdeu-100-2,ilp-162
credit-g_bdeu-10,cpbayes
dermatology_bdeu-1-4,ilp-162
dermatology_bdeu-100-2,ilp-141
diabetes_bdeu-100-3,astar-comp
eucalyptus_bdeu-0.1-4,cpbayes
eucalyptus_bdeu-100-2,cpbayes
flag_bdeu-1-4,ilp-162
flag_bdeu-1-5,ilp-162
flag_bdeu-100-2,ilp-141
flag_bic-2,ilp-141
hailfinder_10000_bdeu-0.1-3,ilp-141
hailfinder_1000_bdeu-0.1-3,ilp-162
hypothyroid_bdeu-10,astar-ec
insurance_10000_bdeu-0.1-2,ilp-162
insurance_10000_bdeu-0.1-3,ilp-162
insurance_10000_bdeu-1-4,ilp-162
insurance_10000_bdeu-10-3,ilp-162-nc
insurance_10000_bic-3,ilp-162
insurance_1000_bdeu-0.1-2,ilp-162
insurance_100_bdeu-0.1-6,ilp-141
lymph_bdeu-100-5,astar-ec
mildew_10000_bdeu-100-2,ilp-162
mildew_1000_bdeu-10-4,ilp-141
mildew_1000_bdeu-10-5,ilp-141
mildew_100_bdeu-10-2,ilp-141
mushroom_bdeu-0.1-5,astar-ec
mushroom_bdeu-10-2,cpbayes
mushroom_bdeu-10-4,cpbayes
mushroom_bdeu-100-6,astar-ec
optdigits_bdeu-0.1-3,ilp-141
pyrim_bdeu-100-5,astar-comp
soybean_bdeu-0.1-2,ilp-141
soybean_bdeu-100-3,astar-comp
spect_bdeu-0.1-6,ilp-162
sponge_bdeu-0.1-4,ilp-141
sponge_bic,ilp-162
stemmatology_bdeu-1-5,ilp-162
student-mat_bdeu-1-5,ilp-141
student-por_bic,ilp-162
synth-1504-29-5-2-0.5-0-144_bdeu-0.1-4,ilp-162
synth-1526-22-3-2-0.5-0-4856_bdeu-1-4,cpbayes
synth-1527-39-4-2-0.5-0-1775_bdeu-1-4,ilp-162
synth-1538-39-7-2-0.5-0-7489_bdeu-1-3,cpbayes
synth-1547-37-8-2-0.5-0-2626_bdeu-10-3,ilp-141
synth-1553-21-4-2-0.5-0-1539_bdeu-100-2,cpbayes
synth-1572-46-5-2-0.5-0-1236_bdeu-0.1-2,ilp-162
synth-1587-29-5-2-0.5-0-940_bdeu-100-4,astar-comp
synth-1599-38-7-2-0.5-0-4321_bdeu-1-3,ilp-141
synth-1604-29-3-2-0.5-0-1040_bdeu-100-3,cpbayes
synth-1605-41-2-2-0.5-0-6735_bdeu-1-4,ilp-141
synth-1612-33-4-2-0.5-0-275_bdeu-100-2,ilp-141
synth-1622-23-8-2-0.5-0-106_bdeu-10-3,cpbayes
synth-1633-57-8-2-0.5-0-3025_bdeu-1-2,ilp-162
synth-1640-47-3-2-0.5-0-3005_bic-2,ilp-141
synth-1644-35-8-2-0.5-0-106_bdeu-0.1-2,ilp-141
synth-1646-31-2-2-0.5-0-212_bdeu-100-2,ilp-141
synth-1672-28-7-2-0.5-0-591_bdeu-1-3,ilp-162
