instance,solver
alarm_10000_bdeu-0.1-4,ilp-162-nc
alarm_1000_bdeu-0.1-6,ilp-162
alarm_1000_bdeu-10-6,ilp-162
alarm_100_bdeu-10-3,ilp-162-nc
alarm_100_bdeu-10-4,ilp-162
alarm_100_bdeu-10-6,ilp-141-nc
audiology_63_bdeu-1-3,ilp-162
autos_bdeu-0.1-3,ilp-162
autos_bdeu-10-5,cpbayes
backache_bdeu-100-5,astar-comp
backache_bdeu-100-6,astar-comp
carpo_10000_bdeu-0.1-2,ilp-162
carpo_10000_bdeu-0.1-4,ilp-141
carpo_10000_bic-2,ilp-162
carpo_100_bdeu-0.1-4,ilp-141
colic_bdeu-10-4,ilp-162-nc
colic_bdeu-100-5,astar-comp
credit-g_bdeu-10-2,ilp-162
dermatology_bdeu-100-4,astar-comp
diabetes_bdeu-1-2,ilp-162
diabetes_bdeu-1-4,ilp-141-nc
diabetes_bdeu-10-2,ilp-162
diabetes_bdeu-10-3,ilp-141
eucalyptus_bdeu-0.1-3,astar-ec
flag_bdeu-1-2,ilp-162
flag_bdeu-10-2,cpbayes
flag_bdeu-100-3,astar-ec
flag_bic,ilp-141
hailfinder_1000_bdeu-1-4,ilp-162
hailfinder_1000_bdeu-10-4,ilp-162
hepatitis_bdeu-100-2,astar-ec
hepatitis_bdeu-100-6,astar-ec
hypothyroid_bdeu-1-3,cpbayes
hypothyroid_bdeu-1-6,cpbayes
hypothyroid_bdeu-10-4,astar-ec
insurance_1000_bdeu-10-6,astar-comp
insurance_1000_bdeu-100-3,astar-comp
insurance_1000_bdeu-100-4,astar-comp
insurance_100_bdeu-1-2,ilp-162
insurance_100_bdeu-10,ilp-162
insurance_100_bdeu-10-2,ilp-162
insurance_100_bdeu-10-3,ilp-162
insurance_100_bdeu-100-3,astar-ec
insurance_100_bdeu-100-6,astar-ec
insurance_100_bic,ilp-141
mildew_10000_bdeu-1-2,ilp-141
mildew_10000_bdeu-100-4,ilp-162
mildew_1000_bdeu-100-2,ilp-162
mildew_100_bdeu-100-2,ilp-141
mildew_100_bdeu-100-6,astar-comp
mushroom_bdeu-100-5,astar-ec
mushroom_bic-3,astar-ec
promoters_bdeu-10-3,ilp-162
pyrim_bdeu-0.1-4,cpbayes
pyrim_bdeu-100-3,astar-ec
pyrim_bic,ilp-141
soybean_bdeu-0.1-4,ilp-141
soybean_bdeu-1-3,cpbayes
spect_bdeu-10-2,ilp-162
splice_bdeu-0.1-4,ilp-162
splice_bdeu-1-4,ilp-141
splice_bdeu-10-4,ilp-141
sponge_bdeu-1-5,ilp-162
sponge_bdeu-1-6,ilp-141
student-mat_bdeu-100-2,ilp-162
student-por_bdeu-0.1-6,ilp-141
synth-1500-43-6-2-0.5-0-843_bdeu-0.1-2,ilp-162
synth-1506-56-2-2-0.5-0-1404_bdeu-100-2,ilp-141
